step,avg_delay,avg_queue,max_queue,throughput,cumulative_reward
1280,41.252941176470586,1.25,2,0,-23526.510611981863
1281,41.44117647058823,1.3333333333333333,2,0,-23613.726298256373
1282,41.641176470588235,1.3333333333333333,2,0,-23701.34198453088
1283,41.84117647058824,1.3333333333333333,2,0,-23789.35767080539
1284,40.529411764705884,1.3333333333333333,2,2,-23868.749827668136
1285,40.16867469879518,1.3333333333333333,2,2,-23947.42051039906
1286,39.411764705882355,1.3333333333333333,2,0,-24030.57737314416
1287,39.576470588235296,1.3333333333333333,2,0,-24114.063647653962
1288,39.741176470588236,1.0,2,0,-24197.54600059514
1289,39.90588235294118,0.9166666666666666,2,0,-24281.27443196769
1290,40.04705882352941,0.6666666666666666,2,0,-24365.035216281416
1291,40.194117647058825,0.75,2,0,-24449.173451575534
1292,40.791666666666664,0.6666666666666666,2,1,-24531.423451575534
1293,40.92857142857143,0.6666666666666666,2,0,-24616.947261099343
1294,41.089285714285715,0.6666666666666666,2,0,-24702.79249919458
1295,40.72352941176471,1.0,2,0,-24788.23955801811
1296,40.84705882352941,1.1666666666666667,2,0,-24874.100342331836
1297,40.976470588235294,1.3333333333333333,2,0,-24960.38661684164
1298,41.1,1.3333333333333333,2,0,-25046.91995017497
1299,41.247058823529414,1.3333333333333333,2,0,-25133.747401155364
1300,41.4,1.3333333333333333,2,0,-25220.8807344887
1301,41.55294117647059,1.3333333333333333,2,0,-25308.319950174973
1302,41.752941176470586,1.3333333333333333,2,0,-25396.15916586125
1303,41.95882352941177,1.3333333333333333,2,0,-25484.410146253405
1304,42.16470588235294,1.3333333333333333,2,0,-25573.072891351443
1305,42.38823529411765,1.3333333333333333,2,0,-25662.18269527301
1306,42.59411764705882,1.3333333333333333,2,0,-25751.70426390046
1307,41.3,1.3333333333333333,2,2,-25832.637597233796
1308,40.752941176470586,1.3333333333333333,2,1,-25915.47681292007
1309,40.917647058823526,1.1666666666666667,2,0,-26001.478773704384
1310,40.358823529411765,1.0,2,1,-26083.196420763208
1311,40.5,0.8333333333333334,2,0,-26168.02975409654
1312,40.66470588235294,0.6666666666666666,2,0,-26253.025832527914
1313,40.805882352941175,0.6666666666666666,2,0,-26338.304263900463
1314,40.44186046511628,0.6666666666666666,2,0,-26422.854651497364
1315,40.58139534883721,1.0,2,0,-26508.01744219504
1316,40.69186046511628,0.9166666666666666,2,0,-26593.31782979194
1317,40.80232558139535,1.1666666666666667,2,0,-26679.0891476214
1318,40.91860465116279,1.25,2,0,-26765.176356923723
1319,41.00581395348837,1.1666666666666667,2,0,-26851.354651497368
1320,41.133720930232556,1.1666666666666667,2,0,-26937.7887600245
1321,41.26744186046512,1.1666666666666667,2,0,-27024.490310412097
1322,41.406976744186046,1.25,2,0,-27111.554263900467
1323,41.58139534883721,1.25,2,0,-27198.967054598143
1324,41.77906976744186,1.25,2,0,-27286.775194133028
1325,41.97093023255814,1.3333333333333333,2,0,-27375.05038793148
1326,42.16860465116279,1.3333333333333333,2,0,-27463.72093056714
1327,42.36046511627907,1.3333333333333333,2,0,-27552.77519413303
1328,40.73529411764706,1.3333333333333333,2,3,-27629.579115701657
1329,40.63095238095238,1.25,2,1,-27712.091020463562
